"country","year","score"
"Cambodia",2021,4.555141448974609
"Cambodia",2022,4.250280857086182
"Cambodia",2023,4.2213454246521
"Cameroon",2021,4.962747573852539
"Cameroon",2022,4.712408065795898
"Cameroon",2023,4.945847034454346
"Canada",2021,6.9394354820251465
"Canada",2022,6.917935371398926
"Canada",2023,6.8412065505981445
"Chad",2022,4.396646022796631
"Chad",2023,4.544095516204834
"Chile",2021,6.435630798339844
"Chile",2022,6.415198802947998
"Chile",2023,6.229820251464844
"China",2021,5.8628644943237305
"China",2023,6.144763946533203
"Colombia",2021,5.289958477020264
"Colombia",2022,5.891712188720703
"Colombia",2023,5.904404163360596
"Comoros",2022,3.545203685760498
"Comoros",2023,3.5880563259124756
"Congo",2021,NA
"Congo",2022,NA
"Congo",2023,NA
"Congo (Brazzaville)",2021,4.920531272888184
"Congo (Brazzaville)",2022,5.8049187660217285
"Congo (Brazzaville)",2023,4.953729629516602
"Congo (Kinshasa)",2022,3.2071967124938965
"Congo (Kinshasa)",2023,3.3833975791931152
"Costa Rica",2021,6.408448219299316
"Costa Rica",2022,7.076658248901367
"Costa Rica",2023,7.384068965911865
"Croatia",2021,6.286790370941162
"Croatia",2022,5.578691482543945
"Croatia",2023,5.958378791809082
"Cyprus",2021,6.26920223236084
"Cyprus",2022,5.8647565841674805
"Cyprus",2023,6.070594310760498
"Czechia",2021,6.9424967765808105
"Czechia",2022,6.695077419281006
"Czechia",2023,6.8270063400268555
"Denmark",2021,7.698747158050537
"Denmark",2022,7.544964790344238
"Denmark",2023,7.50419282913208
"Dominica",2021,NA
"Dominica",2022,NA
"Dominica",2023,NA
"Dominican Republic",2021,6.030537128448486
"Dominican Republic",2022,5.518415927886963
"Dominican Republic",2023,5.921262264251709
"East Timor",2021,NA
"East Timor",2022,NA
"East Timor",2023,NA
"Ecuador",2021,5.434872150421143
"Ecuador",2022,5.887132167816162
"Ecuador",2023,5.8517537117004395
"Egypt",2021,4.025747776031494
"Egypt",2022,4.023561000823975
"Egypt",2023,3.8806402683258057
"El Salvador",2021,6.4314470291137695
"El Salvador",2022,6.492156028747559
"El Salvador",2023,6.481846809387207
"Equatorial Guinea",2021,NA
"Equatorial Guinea",2022,NA
"Equatorial Guinea",2023,NA
"Eritrea",2021,NA
"Eritrea",2022,NA
"Eritrea",2023,NA
"Estonia",2021,6.553915500640869
"Estonia",2022,6.357114315032959
"Estonia",2023,6.429872989654541
"Eswatini",2022,3.5020029544830322
"Ethiopia",2022,3.6280715465545654
"Ethiopia",2023,4.092648506164551
"Fiji",2021,NA
"Fiji",2022,NA
"Fiji",2023,NA
"Finland",2021,7.79437780380249
"Finland",2022,7.728998184204102
"Finland",2023,7.698929309844971
"France",2021,6.6562066078186035
"France",2022,6.61380672454834
"France",2023,6.556921482086182
"Gabon",2021,5.075422286987305
"Gabon",2022,5.139500617980957
"Gabon",2023,5.104125022888184
"Gambia",2022,4.2794413566589355
"Gambia",2023,4.690763473510742
"Georgia",2021,4.91127347946167
"Georgia",2022,5.292755126953125
"Georgia",2023,5.350635051727295
"Germany",2021,6.754523754119873
"Germany",2022,6.608206748962402
"Germany",2023,6.792490482330322
"Ghana",2021,4.377950668334961
"Ghana",2022,4.190854549407959
"Ghana",2023,4.2984514236450195
"Greece",2021,6.104214191436768
"Greece",2022,5.900459289550781
"Greece",2023,5.79606294631958
"Grenada",2021,NA
"Grenada",2022,NA
"Grenada",2023,NA
"Guatemala",2022,6.150331497192383
"Guatemala",2023,6.42129373550415
"Guinea",2021,4.944539546966553
"Guinea",2022,5.317492961883545
"Guinea",2023,4.827179908752441
"Guinea-Bissau",2021,NA
"Guinea-Bissau",2022,NA
"Guinea-Bissau",2023,NA
"Honduras",2021,6.113636016845703
"Honduras",2022,5.9318037033081055
"Honduras",2023,5.860568046569824
"Hong Kong S.A.R. of China",2021,5.3215508460998535
"Hong Kong S.A.R. of China",2022,5.311294078826904
"Hungary",2021,6.226647853851318
"Hungary",2022,5.861183166503906
"Hungary",2023,5.9651780128479
"Iceland",2021,7.564624786376953
"Iceland",2022,7.448794364929199
"Iceland",2023,7.561609268188477
